term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.29414941085157575,0.050687110696577026,5.803238867025026,7.904399906676705e-9,0.19472522544281212,0.3935735962603394
period_fTx1,0.040791360203533716,0.020840423751628343,1.9573191356220159,0.050492984405573614,-8.771391617194702e-5,0.08167043432323938
period_fTx2,0.03297202529460455,0.020877729681083573,1.5792917045227914,0.11447750276803711,-0.007980225449217775,0.07392427603842688
mother_age,7.769073674809371e-4,9.617120360987732e-4,0.8078378332795915,0.4193105121095836,-0.0011095176915307853,0.0026633324264926594
delivery_type_fVaginal,0.0034499520454487538,0.01840050711177032,0.18749222640945098,0.8512997748746456,-0.03264315733786972,0.03954306142876723
baby_sex_fM,-0.005044132663574237,0.017041132443976415,-0.2959975036962525,0.7672724740620508,-0.03847079061272476,0.028382525285576284
parity_fNo,-0.021005193291690656,0.01726912640569752,-1.2163437106326649,0.22404311320439696,-0.05487906777401336,0.012868681190632045
education_fNone,0.015404284114382829,0.03216799028650242,0.47886995666143356,0.6321001136445038,-0.0476941286086866,0.07850269683745226
education_fPrimary,-0.01916716730822016,0.024234685582321565,-0.7908981217483589,0.4291269913525477,-0.06670418095028101,0.028369846333840692
education_fSecondary,0.027359755286181904,0.0232263165595553,1.1779635921187903,0.23899575496990744,-0.018199314312468767,0.07291882488483258
occupation_fStay at Home,-0.008102811171481832,0.020963791226918063,-0.3865145900269035,0.6991697697039061,-0.04922387404470002,0.03301825170173636
occupation_fTeacher,-0.005169633536621468,0.0207290049028083,-0.24939130271135698,0.8030918525592675,-0.04583015646785185,0.03549088939460891
caste_fB,0.011150007880415936,0.024281350757375628,0.4592004782530084,0.6461559540088082,-0.03647854080779266,0.05877855656862454
caste_fC,-0.05221740780550065,0.024052485744861594,-2.170977601209306,0.030087379456815753,-0.09939703137004244,-0.0050377842409588605
caste_fD,-0.016700640186738062,0.023514305423911894,-0.7102331914833019,0.4776686328154174,-0.06282460799820762,0.02942332762473149
bpl_card_fNo,0.020610298819716596,0.019726459737492385,1.0448047492548485,0.29627956472053996,-0.018083703727392538,0.059304301366825726
bpl_card_fDon’t Know,0.03246564917849024,0.022109925850585726,1.468374403328457,0.14220972749064528,-0.01090358881777028,0.07583488717475076
caregiver_count,-0.001432531006492601,0.006031457900091123,-0.23750990725989457,0.812293284785442,-0.013263404384412498,0.010398342371427297
